county,precinct,office,district,party,candidate,votes,election_day
Clay,C102,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,1,1
Clay,C103,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,0,0
Clay,C104,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,2,2
Clay,D102,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,3,3
Clay,D103,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,4,4
Clay,D104,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,0,0
Clay,E101,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,3,3
Clay,E102,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,8,8
Clay,E103,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,8,8
Clay,E104,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,4,4
Clay,F101,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,3,3
Clay,F102,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,7,7
Clay,F104,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,5,5
Clay,ABSENTEE MACHINE,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,2,2
Clay,ABSENTEE PAPER,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,1,1
Clay,A101,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,5,5
Clay,A106,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,3,3
Clay,A107,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,B101,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,3,3
Clay,B103,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,2,2
Clay,B104,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,2,2
Clay,C101,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,2,2
Clay,C102,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,C103,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,C104,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,1,1
Clay,D102,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,D103,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,2,2
Clay,D104,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,1,1
Clay,E101,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,E102,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,1,1
Clay,E103,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,2,2
Clay,E104,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,1,1
Clay,F101,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,5,5
Clay,F102,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,1,1
Clay,F104,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,ABSENTEE MACHINE,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,ABSENTEE PAPER,Governor and Lieutenant Governor,,,Adam H. EDELEN / Gill HOLLAND,0,0
Clay,A101,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,A106,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,A107,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,B101,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,B103,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,B104,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",3,3
Clay,C101,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,C102,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,C103,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,C104,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",1,1
Clay,D102,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,D103,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,D104,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,E101,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",2,2
Clay,E102,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",1,1
Clay,E103,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,E104,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,F101,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",1,1
Clay,F102,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,F104,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,ABSENTEE MACHINE,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,ABSENTEE PAPER,Governor and Lieutenant Governor,,,"Geoffrey M. ""Geoff"" YOUNG / Joshua N. ""Josh"" FRENCH",0,0
Clay,A101,Secretary of State,,,Jason S. BELCHER,2,2
Clay,A106,Secretary of State,,,Jason S. BELCHER,4,4
Clay,A107,Secretary of State,,,Jason S. BELCHER,1,1
Clay,B101,Secretary of State,,,Jason S. BELCHER,5,5
Clay,B103,Secretary of State,,,Jason S. BELCHER,5,5
Clay,B104,Secretary of State,,,Jason S. BELCHER,2,2
Clay,C101,Secretary of State,,,Jason S. BELCHER,1,1
Clay,C102,Secretary of State,,,Jason S. BELCHER,1,1
Clay,C103,Secretary of State,,,Jason S. BELCHER,2,2
Clay,C104,Secretary of State,,,Jason S. BELCHER,2,2
Clay,D102,Secretary of State,,,Jason S. BELCHER,1,1
Clay,D103,Secretary of State,,,Jason S. BELCHER,1,1
Clay,D104,Secretary of State,,,Jason S. BELCHER,0,0
Clay,E101,Secretary of State,,,Jason S. BELCHER,0,0
Clay,E102,Secretary of State,,,Jason S. BELCHER,3,3
Clay,E103,Secretary of State,,,Jason S. BELCHER,5,5
Clay,E104,Secretary of State,,,Jason S. BELCHER,2,2
Clay,F101,Secretary of State,,,Jason S. BELCHER,4,4
Clay,F102,Secretary of State,,,Jason S. BELCHER,4,4
Clay,F104,Secretary of State,,,Jason S. BELCHER,2,2
Clay,ABSENTEE MACHINE,Secretary of State,,,Jason S. BELCHER,0,0
Clay,ABSENTEE PAPER,Secretary of State,,,Jason S. BELCHER,0,0
Clay,A101,Secretary of State,,,Jason GRIFFITH,2,2
Clay,A106,Secretary of State,,,Jason GRIFFITH,5,5
Clay,A107,Secretary of State,,,Jason GRIFFITH,0,0
Clay,B101,Secretary of State,,,Jason GRIFFITH,0,0
Clay,B103,Secretary of State,,,Jason GRIFFITH,2,2
Clay,B104,Secretary of State,,,Jason GRIFFITH,2,2
Clay,C101,Secretary of State,,,Jason GRIFFITH,0,0
Clay,C102,Secretary of State,,,Jason GRIFFITH,1,1
Clay,C103,Secretary of State,,,Jason GRIFFITH,0,0
Clay,C104,Secretary of State,,,Jason GRIFFITH,1,1
Clay,D102,Secretary of State,,,Jason GRIFFITH,1,1
Clay,D103,Secretary of State,,,Jason GRIFFITH,3,3
Clay,D104,Secretary of State,,,Jason GRIFFITH,0,0
Clay,E101,Secretary of State,,,Jason GRIFFITH,1,1
Clay,E102,Secretary of State,,,Jason GRIFFITH,2,2
Clay,E103,Secretary of State,,,Jason GRIFFITH,4,4
Clay,E104,Secretary of State,,,Jason GRIFFITH,2,2
Clay,F101,Secretary of State,,,Jason GRIFFITH,2,2
Clay,F102,Secretary of State,,,Jason GRIFFITH,3,3
Clay,F104,Secretary of State,,,Jason GRIFFITH,1,1
Clay,ABSENTEE MACHINE,Secretary of State,,,Jason GRIFFITH,0,0
Clay,ABSENTEE PAPER,Secretary of State,,,Jason GRIFFITH,0,0
Clay,A101,Secretary of State,,,Heather French HENRY,27,27
Clay,A106,Secretary of State,,,Heather French HENRY,9,9
Clay,A107,Secretary of State,,,Heather French HENRY,9,9
Clay,B101,Secretary of State,,,Heather French HENRY,11,11
Clay,B103,Secretary of State,,,Heather French HENRY,13,13
Clay,B104,Secretary of State,,,Heather French HENRY,10,10
Clay,C101,Secretary of State,,,Heather French HENRY,6,6
Clay,C102,Secretary of State,,,Heather French HENRY,0,0
Clay,C103,Secretary of State,,,Heather French HENRY,1,1
Clay,C104,Secretary of State,,,Heather French HENRY,6,6
Clay,D102,Secretary of State,,,Heather French HENRY,2,2
Clay,D103,Secretary of State,,,Heather French HENRY,4,4
Clay,D104,Secretary of State,,,Heather French HENRY,5,5
Clay,E101,Secretary of State,,,Heather French HENRY,4,4
Clay,E102,Secretary of State,,,Heather French HENRY,5,5
Clay,E103,Secretary of State,,,Heather French HENRY,8,8
Clay,E104,Secretary of State,,,Heather French HENRY,2,2
Clay,F101,Secretary of State,,,Heather French HENRY,8,8
Clay,F102,Secretary of State,,,Heather French HENRY,5,5
Clay,F104,Secretary of State,,,Heather French HENRY,8,8
Clay,ABSENTEE MACHINE,Secretary of State,,,Heather French HENRY,6,6
Clay,ABSENTEE PAPER,Secretary of State,,,Heather French HENRY,1,1
Clay,A101,Secretary of State,,,Geoff SEBESTA,0,0
Clay,A106,Secretary of State,,,Geoff SEBESTA,0,0
Clay,A107,Secretary of State,,,Geoff SEBESTA,0,0
Clay,B101,Secretary of State,,,Geoff SEBESTA,0,0
Clay,B103,Secretary of State,,,Geoff SEBESTA,0,0
Clay,B104,Secretary of State,,,Geoff SEBESTA,1,1
Clay,C101,Secretary of State,,,Geoff SEBESTA,0,0
Clay,C102,Secretary of State,,,Geoff SEBESTA,0,0
Clay,C103,Secretary of State,,,Geoff SEBESTA,0,0
