county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Mccracken,A113,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,23,0,23,0
Mccracken,A113,Commissioner of Agriculture,,DEM,Mikael MALONE,23,0,23,0
Mccracken,A113,Commissioner of Agriculture,,DEM,Total Votes Cast,46,0,46,0
Mccracken,A113,Commissioner of Agriculture,,DEM,Under Votes,5,0,5,0
Mccracken,A113,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A114,Governor,,REP,Daniel CAMERON,41,1,39,1
Mccracken,A114,Governor,,REP,Jacob CLARK,0,0,0,0
Mccracken,A114,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A114,Governor,,REP,Kelly CRAFT,14,3,11,0
Mccracken,A114,Governor,,REP,Eric DETERS,2,0,2,0
Mccracken,A114,Governor,,REP,Bob DeVORE,1,0,1,0
Mccracken,A114,Governor,,REP,Mike HARMON,2,1,1,0
Mccracken,A114,Governor,,REP,Alan KECK,0,0,0,0
Mccracken,A114,Governor,,REP,Dennis Ray ORMEROD,1,0,1,0
Mccracken,A114,Governor,,REP,Ryan QUARLES,14,0,14,0
Mccracken,A114,Governor,,REP,Johnny Ray RICE,0,0,0,0
Mccracken,A114,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A114,Governor,,REP,Total Votes Cast,75,5,69,1
Mccracken,A114,Governor,,REP,Under Votes,2,1,1,0
Mccracken,A114,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A114,Secretary of State,,REP,Michael ADAMS,53,5,47,1
Mccracken,A114,Secretary of State,,REP,Stephen L. KNIPPER,11,0,11,0
Mccracken,A114,Secretary of State,,REP,Allen MARICLE,3,0,3,0
Mccracken,A114,Secretary of State,,REP,Total Votes Cast,67,5,61,1
Mccracken,A114,Secretary of State,,REP,Under Votes,10,1,9,0
Mccracken,A114,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A114,Auditor of Public Accounts,,REP,Allison BALL,47,5,41,1
Mccracken,A114,Auditor of Public Accounts,,REP,Derek PETTEYS,18,0,18,0
Mccracken,A114,Auditor of Public Accounts,,REP,Total Votes Cast,65,5,59,1
Mccracken,A114,Auditor of Public Accounts,,REP,Under Votes,12,1,11,0
Mccracken,A114,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A114,State Treasurer,,REP,Andrew COOPERRIDER,16,0,16,0
Mccracken,A114,State Treasurer,,REP,Mark H. METCALF,44,6,37,1
Mccracken,A114,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",6,0,6,0
Mccracken,A114,State Treasurer,,REP,Total Votes Cast,66,6,59,1
Mccracken,A114,State Treasurer,,REP,Under Votes,11,0,11,0
Mccracken,A114,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A114,Commissioner of Agriculture,,REP,Richard HEATH,59,3,55,1
Mccracken,A114,Commissioner of Agriculture,,REP,Jonathan SHELL,12,2,10,0
Mccracken,A114,Commissioner of Agriculture,,REP,Total Votes Cast,71,5,65,1
Mccracken,A114,Commissioner of Agriculture,,REP,Under Votes,6,1,5,0
Mccracken,A114,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A114,Governor,,DEM,Andy BESHEAR,37,3,32,2
Mccracken,A114,Governor,,DEM,Peppy MARTIN,3,0,3,0
Mccracken,A114,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",2,0,2,0
Mccracken,A114,Governor,,DEM,Total Votes Cast,42,3,37,2
Mccracken,A114,Governor,,DEM,Under Votes,1,0,1,0
Mccracken,A114,Governor,,DEM,Over Votes,0,0,0,0
Mccracken,A114,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,24,1,21,2
Mccracken,A114,Commissioner of Agriculture,,DEM,Mikael MALONE,17,2,15,0
Mccracken,A114,Commissioner of Agriculture,,DEM,Total Votes Cast,41,3,36,2
Mccracken,A114,Commissioner of Agriculture,,DEM,Under Votes,2,0,2,0
Mccracken,A114,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A115,Governor,,REP,Daniel CAMERON,15,0,15,0
Mccracken,A115,Governor,,REP,Jacob CLARK,0,0,0,0
Mccracken,A115,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A115,Governor,,REP,Kelly CRAFT,7,0,7,0
Mccracken,A115,Governor,,REP,Eric DETERS,0,0,0,0
Mccracken,A115,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A115,Governor,,REP,Mike HARMON,1,0,1,0
Mccracken,A115,Governor,,REP,Alan KECK,0,0,0,0
Mccracken,A115,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Mccracken,A115,Governor,,REP,Ryan QUARLES,6,0,5,1
Mccracken,A115,Governor,,REP,Johnny Ray RICE,0,0,0,0
Mccracken,A115,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A115,Governor,,REP,Total Votes Cast,29,0,28,1
Mccracken,A115,Governor,,REP,Under Votes,0,0,0,0
Mccracken,A115,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A115,Secretary of State,,REP,Michael ADAMS,21,0,20,1
Mccracken,A115,Secretary of State,,REP,Stephen L. KNIPPER,4,0,4,0
Mccracken,A115,Secretary of State,,REP,Allen MARICLE,3,0,3,0
Mccracken,A115,Secretary of State,,REP,Total Votes Cast,28,0,27,1
Mccracken,A115,Secretary of State,,REP,Under Votes,1,0,1,0
Mccracken,A115,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A115,Auditor of Public Accounts,,REP,Allison BALL,20,0,19,1
Mccracken,A115,Auditor of Public Accounts,,REP,Derek PETTEYS,7,0,7,0
Mccracken,A115,Auditor of Public Accounts,,REP,Total Votes Cast,27,0,26,1
Mccracken,A115,Auditor of Public Accounts,,REP,Under Votes,2,0,2,0
Mccracken,A115,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A115,State Treasurer,,REP,Andrew COOPERRIDER,6,0,5,1
Mccracken,A115,State Treasurer,,REP,Mark H. METCALF,17,0,17,0
Mccracken,A115,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",3,0,3,0
Mccracken,A115,State Treasurer,,REP,Total Votes Cast,26,0,25,1
Mccracken,A115,State Treasurer,,REP,Under Votes,3,0,3,0
Mccracken,A115,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A115,Commissioner of Agriculture,,REP,Richard HEATH,17,0,16,1
